"lb";"up";"alpha";"K";"name";"t"
"158";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.0833333333333333
"228";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.166666666666667
"326";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.25
"424";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.333333333333333
"522";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.416666666666667
"620";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.5
"718";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.583333333333333
"816";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.666666666666667
"914";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.75
"1012";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.833333333333333
"1116";-2.5879362087504;2.5879362087504;0.05;12;"PK";0.916666666666667
"1211";-2.5879362087504;2.5879362087504;0.05;12;"PK";1
"160";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.0769230769230769
"229";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.153846153846154
"327";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.230769230769231
"425";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.307692307692308
"523";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.384615384615385
"621";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.461538461538462
"719";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.538461538461539
"817";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.615384615384615
"915";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.692307692307692
"1013";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.769230769230769
"1117";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.846153846153846
"1212";-2.60188917864491;2.60188917864491;0.05;13;"PK";0.923076923076923
"1310";-2.60188917864491;2.60188917864491;0.05;13;"PK";1
"165";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.0714285714285714
"230";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.142857142857143
"328";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.214285714285714
"426";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.285714285714286
"524";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.357142857142857
"622";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.428571428571429
"720";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.5
"818";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.571428571428571
"916";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.642857142857143
"1014";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.714285714285714
"1118";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.785714285714286
"1213";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.857142857142857
"1311";-2.61453717087676;2.61453717087676;0.05;14;"PK";0.928571428571428
"1410";-2.61453717087676;2.61453717087676;0.05;14;"PK";1
"166";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.0666666666666667
"231";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.133333333333333
"329";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.2
"427";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.266666666666667
"525";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.333333333333333
"623";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.4
"721";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.466666666666667
"819";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.533333333333333
"917";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.6
"1015";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.666666666666667
"1119";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.733333333333333
"1214";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.8
"1312";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.866666666666667
"1411";-2.62608427150517;2.62608427150517;0.05;15;"PK";0.933333333333333
"1510";-2.62608427150517;2.62608427150517;0.05;15;"PK";1
"167";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.0625
"232";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.125
"330";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.1875
"428";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.25
"526";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.3125
"624";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.375
"722";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.4375
"820";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.5
"918";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.5625
"1016";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.625
"1120";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.6875
"1215";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.75
"1313";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.8125
"1412";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.875
"1511";-2.6366911479218;2.6366911479218;0.05;16;"PK";0.9375
"168";-2.6366911479218;2.6366911479218;0.05;16;"PK";1
"169";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.0588235294117647
"233";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.117647058823529
"331";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.176470588235294
"429";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.235294117647059
"527";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.294117647058824
"625";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.352941176470588
"723";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.411764705882353
"821";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.470588235294118
"919";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.529411764705882
"1017";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.588235294117647
"1121";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.647058823529412
"1216";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.705882352941176
"1314";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.764705882352941
"1413";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.823529411764706
"1512";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.882352941176471
"1610";-2.64648696387567;2.64648696387567;0.05;17;"PK";0.941176470588235
"174";-2.64648696387567;2.64648696387567;0.05;17;"PK";1
"170";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.0555555555555556
"234";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.111111111111111
"332";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.166666666666667
"430";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.222222222222222
"528";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.277777777777778
"626";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.333333333333333
"724";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.388888888888889
"822";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.444444444444444
"920";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.5
"1018";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.555555555555556
"1122";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.611111111111111
"1217";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.666666666666667
"1315";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.722222222222222
"1414";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.777777777777778
"1513";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.833333333333333
"1611";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.888888888888889
"175";-2.65557659942286;2.65557659942286;0.05;18;"PK";0.944444444444444
"183";-2.65557659942286;2.65557659942286;0.05;18;"PK";1
"176";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.0526315789473684
"235";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.105263157894737
"333";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.157894736842105
"431";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.210526315789474
"529";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.263157894736842
"627";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.315789473684211
"725";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.368421052631579
"823";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.421052631578947
"921";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.473684210526316
"1019";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.526315789473684
"1123";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.578947368421053
"1218";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.631578947368421
"1316";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.684210526315789
"1415";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.736842105263158
"1514";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.789473684210526
"1612";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.842105263157895
"177";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.894736842105263
"184";-2.6640237154887;2.6640237154887;0.05;19;"PK";0.947368421052632
"192";-2.6640237154887;2.6640237154887;0.05;19;"PK";1
